	prediction key	run number	Accuracy	Dataset Size	Inter-Aspect	Position	CWR	Model	Dataset	Split	Reduced Error Split	NT	Subset By
0	predicted_target_sentiment_AE_GloVe_None_None	0	65.63706563706563	259	False	False	False	AE	Laptop	Test	DS	1	DS1
1	predicted_target_sentiment_AE_GloVe_None_None	1	64.86486486486487	259	False	False	False	AE	Laptop	Test	DS	1	DS1
2	predicted_target_sentiment_AE_GloVe_None_None	2	67.18146718146718	259	False	False	False	AE	Laptop	Test	DS	1	DS1
3	predicted_target_sentiment_AE_GloVe_None_None	3	67.18146718146718	259	False	False	False	AE	Laptop	Test	DS	1	DS1
4	predicted_target_sentiment_AE_GloVe_None_None	4	65.63706563706563	259	False	False	False	AE	Laptop	Test	DS	1	DS1
5	predicted_target_sentiment_AE_GloVe_None_None	5	66.02316602316603	259	False	False	False	AE	Laptop	Test	DS	1	DS1
6	predicted_target_sentiment_AE_GloVe_None_None	6	70.27027027027027	259	False	False	False	AE	Laptop	Test	DS	1	DS1
7	predicted_target_sentiment_AE_GloVe_None_None	7	64.86486486486487	259	False	False	False	AE	Laptop	Test	DS	1	DS1
8	predicted_target_sentiment_AE_GloVe_None_None	0	66.875	160	False	False	False	AE	Laptop	Test	DS	Low	DS1
9	predicted_target_sentiment_AE_GloVe_None_None	1	68.75	160	False	False	False	AE	Laptop	Test	DS	Low	DS1
10	predicted_target_sentiment_AE_GloVe_None_None	2	72.5	160	False	False	False	AE	Laptop	Test	DS	Low	DS1
11	predicted_target_sentiment_AE_GloVe_None_None	3	71.25	160	False	False	False	AE	Laptop	Test	DS	Low	DS1
12	predicted_target_sentiment_AE_GloVe_None_None	4	71.25	160	False	False	False	AE	Laptop	Test	DS	Low	DS1
13	predicted_target_sentiment_AE_GloVe_None_None	5	71.25	160	False	False	False	AE	Laptop	Test	DS	Low	DS1
14	predicted_target_sentiment_AE_GloVe_None_None	6	73.75	160	False	False	False	AE	Laptop	Test	DS	Low	DS1
15	predicted_target_sentiment_AE_GloVe_None_None	7	71.25	160	False	False	False	AE	Laptop	Test	DS	Low	DS1
16	predicted_target_sentiment_AE_GloVe_None_None	0	86.11111111111111	72	False	False	False	AE	Laptop	Test	DS	Med	DS1
17	predicted_target_sentiment_AE_GloVe_None_None	1	79.16666666666666	72	False	False	False	AE	Laptop	Test	DS	Med	DS1
18	predicted_target_sentiment_AE_GloVe_None_None	2	87.5	72	False	False	False	AE	Laptop	Test	DS	Med	DS1
19	predicted_target_sentiment_AE_GloVe_None_None	3	83.33333333333334	72	False	False	False	AE	Laptop	Test	DS	Med	DS1
20	predicted_target_sentiment_AE_GloVe_None_None	4	84.72222222222221	72	False	False	False	AE	Laptop	Test	DS	Med	DS1
21	predicted_target_sentiment_AE_GloVe_None_None	5	84.72222222222221	72	False	False	False	AE	Laptop	Test	DS	Med	DS1
22	predicted_target_sentiment_AE_GloVe_None_None	6	84.72222222222221	72	False	False	False	AE	Laptop	Test	DS	Med	DS1
23	predicted_target_sentiment_AE_GloVe_None_None	7	83.33333333333334	72	False	False	False	AE	Laptop	Test	DS	Med	DS1
24	predicted_target_sentiment_AE_GloVe_None_None	0	93.18181818181817	44	False	False	False	AE	Laptop	Test	DS	High	DS1
25	predicted_target_sentiment_AE_GloVe_None_None	1	93.18181818181817	44	False	False	False	AE	Laptop	Test	DS	High	DS1
26	predicted_target_sentiment_AE_GloVe_None_None	2	88.63636363636364	44	False	False	False	AE	Laptop	Test	DS	High	DS1
27	predicted_target_sentiment_AE_GloVe_None_None	3	88.63636363636364	44	False	False	False	AE	Laptop	Test	DS	High	DS1
28	predicted_target_sentiment_AE_GloVe_None_None	4	90.9090909090909	44	False	False	False	AE	Laptop	Test	DS	High	DS1
29	predicted_target_sentiment_AE_GloVe_None_None	5	81.81818181818183	44	False	False	False	AE	Laptop	Test	DS	High	DS1
30	predicted_target_sentiment_AE_GloVe_None_None	6	81.81818181818183	44	False	False	False	AE	Laptop	Test	DS	High	DS1
31	predicted_target_sentiment_AE_GloVe_None_None	7	90.9090909090909	44	False	False	False	AE	Laptop	Test	DS	High	DS1
32	predicted_target_sentiment_AE_GloVe_Weighting_None	0	64.86486486486487	259	False	Weighting	False	AE	Laptop	Test	DS	1	DS1
33	predicted_target_sentiment_AE_GloVe_Weighting_None	1	65.63706563706563	259	False	Weighting	False	AE	Laptop	Test	DS	1	DS1
34	predicted_target_sentiment_AE_GloVe_Weighting_None	2	62.54826254826254	259	False	Weighting	False	AE	Laptop	Test	DS	1	DS1
35	predicted_target_sentiment_AE_GloVe_Weighting_None	3	66.02316602316603	259	False	Weighting	False	AE	Laptop	Test	DS	1	DS1
36	predicted_target_sentiment_AE_GloVe_Weighting_None	4	65.63706563706563	259	False	Weighting	False	AE	Laptop	Test	DS	1	DS1
37	predicted_target_sentiment_AE_GloVe_Weighting_None	5	66.40926640926641	259	False	Weighting	False	AE	Laptop	Test	DS	1	DS1
38	predicted_target_sentiment_AE_GloVe_Weighting_None	6	66.79536679536679	259	False	Weighting	False	AE	Laptop	Test	DS	1	DS1
39	predicted_target_sentiment_AE_GloVe_Weighting_None	7	67.18146718146718	259	False	Weighting	False	AE	Laptop	Test	DS	1	DS1
40	predicted_target_sentiment_AE_GloVe_Weighting_None	0	68.75	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
41	predicted_target_sentiment_AE_GloVe_Weighting_None	1	67.5	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
42	predicted_target_sentiment_AE_GloVe_Weighting_None	2	73.75	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
43	predicted_target_sentiment_AE_GloVe_Weighting_None	3	69.375	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
44	predicted_target_sentiment_AE_GloVe_Weighting_None	4	71.875	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
45	predicted_target_sentiment_AE_GloVe_Weighting_None	5	69.375	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
46	predicted_target_sentiment_AE_GloVe_Weighting_None	6	72.5	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
47	predicted_target_sentiment_AE_GloVe_Weighting_None	7	70.625	160	False	Weighting	False	AE	Laptop	Test	DS	Low	DS1
